locationid,locationcategoryid
CITY:AE000001,CITY
CITY:AE000002,CITY
CITY:AE000003,CITY
CITY:AE000006,CITY
CITY:AF000007,CITY
CITY:AF000008,CITY
CITY:AG000001,CITY
CITY:AG000002,CITY
CITY:AG000003,CITY
CITY:AG000004,CITY
CITY:AG000005,CITY
CITY:AG000006,CITY
CITY:AG000007,CITY
CITY:AG000008,CITY
CITY:AG000009,CITY
CITY:AG000010,CITY
CITY:AG000011,CITY
CITY:AG000012,CITY
CITY:AG000013,CITY
CITY:AG000014,CITY
CITY:AG000015,CITY
CITY:AG000016,CITY
CITY:AG000017,CITY
CITY:AJ000001,CITY
CITY:AJ000002,CITY
CITY:AL000001,CITY
CITY:AL000004,CITY
CITY:AL000005,CITY
CITY:AM000001,CITY
CITY:AO000005,CITY
CITY:AO000006,CITY
CITY:AO000008,CITY
CITY:AR000001,CITY
CITY:AR000002,CITY
CITY:AR000003,CITY
CITY:AR000004,CITY
CITY:AR000005,CITY
CITY:AR000006,CITY
CITY:AR000007,CITY
CITY:AR000008,CITY
CITY:AR000009,CITY
CITY:AR000010,CITY
CITY:AR000011,CITY
CITY:AR000012,CITY
CITY:AR000013,CITY
CITY:AR000014,CITY
CITY:AR000015,CITY
CITY:AR000016,CITY
CITY:AR000017,CITY
CITY:AR000018,CITY
CITY:AR000019,CITY
CITY:AR000020,CITY
CITY:AR000023,CITY
CITY:AR000024,CITY
CITY:AR000025,CITY
CITY:AS000001,CITY
CITY:AS000002,CITY
CITY:AS000003,CITY
CITY:AS000004,CITY
CITY:AS000005,CITY
CITY:AS000006,CITY
CITY:AS000007,CITY
CITY:AS000008,CITY
CITY:AS000009,CITY
CITY:AS000010,CITY
CITY:AS000011,CITY
CITY:AU000001,CITY
CITY:AU000002,CITY
CITY:AU000003,CITY
CITY:AU000005,CITY
CITY:AU000006,CITY
CITY:BA000001,CITY
CITY:BA000002,CITY
CITY:BB000001,CITY
CITY:BC000001,CITY
CITY:BC000002,CITY
CITY:BC000003,CITY
CITY:BE000002,CITY
CITY:BE000003,CITY
CITY:BE000004,CITY
CITY:BE000005,CITY
CITY:BF000001,CITY
CITY:BG000001,CITY
CITY:BG000002,CITY
CITY:BG000003,CITY
CITY:BG000005,CITY
CITY:BH000001,CITY
CITY:BK000001,CITY
CITY:BL000001,CITY
CITY:BL000002,CITY
CITY:BL000003,CITY
CITY:BL000004,CITY
CITY:BL000005,CITY
CITY:BL000006,CITY
CITY:BL000007,CITY
CITY:BL000008,CITY
CITY:BM000003,CITY
CITY:BM000005,CITY
CITY:BM000007,CITY
CITY:BM000008,CITY
CITY:BM000009,CITY
CITY:BN000001,CITY
CITY:BN000002,CITY
CITY:BN000003,CITY
CITY:BN000004,CITY
CITY:BN000005,CITY
CITY:BO000001,CITY
CITY:BO000002,CITY
CITY:BO000003,CITY
CITY:BO000004,CITY
CITY:BO000005,CITY
CITY:BO000006,CITY
CITY:BP000001,CITY
CITY:BR000001,CITY
CITY:BR000002,CITY
CITY:BR000003,CITY
CITY:BR000004,CITY
CITY:BR000005,CITY
CITY:BR000006,CITY
CITY:BR000007,CITY
CITY:BR000008,CITY
CITY:BR000009,CITY
CITY:BR000010,CITY
CITY:BR000011,CITY
CITY:BR000012,CITY
CITY:BR000013,CITY
CITY:BR000014,CITY
CITY:BR000015,CITY
CITY:BR000016,CITY
CITY:BR000017,CITY
CITY:BR000018,CITY
CITY:BR000019,CITY
CITY:BR000020,CITY
CITY:BR000021,CITY
CITY:BR000022,CITY
CITY:BR000023,CITY
CITY:BR000024,CITY
CITY:BR000025,CITY
CITY:BR000026,CITY
CITY:BR000027,CITY
CITY:BR000028,CITY
CITY:BR000029,CITY
CITY:BR000030,CITY
CITY:BU000002,CITY
CITY:BU000003,CITY
CITY:BX000001,CITY
CITY:BY000001,CITY
CITY:BY000002,CITY
CITY:CA000001,CITY
CITY:CA000002,CITY
CITY:CA000003,CITY
CITY:CA000004,CITY
CITY:CA000005,CITY
CITY:CA000006,CITY
CITY:CA000007,CITY
CITY:CA000008,CITY
CITY:CA000009,CITY
CITY:CA000010,CITY
CITY:CA000011,CITY
CITY:CA000012,CITY
CITY:CA000013,CITY
CITY:CA000014,CITY
CITY:CB000004,CITY
CITY:CD000001,CITY
CITY:CD000002,CITY
CITY:CD000003,CITY
CITY:CD000004,CITY
CITY:CE000002,CITY
CITY:CE000005,CITY
CITY:CF000001,CITY
CITY:CF000002,CITY
CITY:CF000003,CITY
CITY:CG000001,CITY
CITY:CG000002,CITY
CITY:CG000003,CITY
CITY:CG000005,CITY
CITY:CG000006,CITY
CITY:CG000007,CITY
CITY:CG000008,CITY
CITY:CH000003,CITY
CITY:CH000004,CITY
CITY:CH000005,CITY
CITY:CH000006,CITY
CITY:CH000007,CITY
CITY:CH000008,CITY
CITY:CH000009,CITY
CITY:CH000010,CITY
CITY:CH000011,CITY
CITY:CH000012,CITY
CITY:CH000013,CITY
CITY:CH000014,CITY
CITY:CH000015,CITY
CITY:CH000016,CITY
CITY:CH000017,CITY
CITY:CH000019,CITY
CITY:CH000020,CITY
CITY:CH000021,CITY
CITY:CH000022,CITY
CITY:CH000023,CITY
CITY:CH000025,CITY
CITY:CH000026,CITY
CITY:CH000027,CITY
CITY:CH000028,CITY
CITY:CH000029,CITY
CITY:CH000030,CITY
CITY:CH000031,CITY
CITY:CH000032,CITY
CITY:CH000033,CITY
CITY:CH000037,CITY
CITY:CH000039,CITY
CITY:CH000040,CITY
CITY:CH000041,CITY
