id,name,latitude,longitude,elevation
AE000041196,"SHARJAH INTER. AIRP, AE",25.333,55.517,34.0
AEM00041194,"DUBAI INTERNATIONAL, AE",25.255,55.364,10.4
AEM00041217,"ABU DHABI INTERNATIONAL, AE",24.433,54.651,26.8
AEM00041218,"AL AIN INTERNATIONAL, AE",24.262,55.609,264.9
AG000060390,"ALGER DAR EL BEIDA, AG",36.7167,3.25,24.0
AG000060590,"EL GOLEA, AG",30.5667,2.8667,397.0
AG000060611,"IN AMENAS, AG",28.05,9.6331,561.0
AGE00147708,"TIZI OUZOU, AG",36.72,4.05,222.0
AGE00147716,"NEMOURS GHAZAOUET, AG",35.1,-1.85,83.0
AGE00147718,"BISKRA, AG",34.85,5.72,125.0
AGE00147719,"LAGHOUAT, AG",33.7997,2.89,767.0
AGM00060351,"JIJEL, AG",36.795,5.874,11.0
AGM00060355,SKIKDA,36.933,6.95,7.0
AGM00060360,"ANNABA, AG",36.822,7.809,4.9
AGM00060402,"SOUMMAM, AG",36.712,5.07,6.1
AGM00060403,"GUELMA, AG",36.467,7.467,228.0
AGM00060419,"MOHAMED BOUDIAF INTERNATIONAL, AG",36.276,6.62,690.4
AGM00060421,"OUM EL BOUAGHI, AG",35.867,7.117,891.0
AGM00060423,"SOUK AHRAS, AG",36.283,7.967,680.0
AGM00060425,"ECH CHELIFF, AG",36.213,1.332,141.1
AGM00060430,"MILIANA, AG",36.3,2.233,721.0
AGM00060437,"MEDEA, AG",36.283,2.733,1036.0
AGM00060444,"BORDJ BOU ARRERIDJ, AG",36.067,4.767,930.0
AGM00060445,"SETIF AIN ARNAT, AG",36.178,5.324,1050.0
AGM00060452,"ARZEW, AG",35.817,-0.267,4.0
AGM00060457,"MOSTAGANEM, AG",35.883,0.117,138.0
AGM00060461,"ORAN PORT, AG",35.7,-0.65,22.0
AGM00060467,"M SILA, AG",35.667,4.5,442.0
AGM00060468,"BATNA, AG",35.55,6.183,1052.0
AGM00060475,"CHEIKH LARBI TEBESSI, AG",35.432,8.121,811.1
AGM00060490,"ES SENIA, AG",35.624,-0.621,89.9
AGM00060507,"GHRISS, AG",35.208,0.147,513.9
AGM00060511,"BOU CHEKIF, AG",35.341,1.463,989.1
AGM00060514,"KSAR CHELLALA, AG",35.167,2.317,801.0
AGM00060515,"BOU SAADA, AG",35.333,4.206,459.0
AGM00060518,"BENI SAF, AG",35.3,-1.35,70.0
AGM00060520,"SIDI BEL ABBES, AG",35.2,-0.617,476.0
AGM00060522,"MAGHNIA, AG",34.82,-1.77,426.0
AGM00060531,"ZENATA, AG",35.017,-1.45,248.1
AGM00060535,"DJELFA TLETSI, AG",34.683,3.25,1144.0
AGM00060536,"SAIDA, AG",34.867,0.15,752.0
AGM00060549,"MECHERIA, AG",33.536,-0.242,1175.0
AGM00060550,"EL BAYADH, AG",33.667,1.0,1347.0
AGM00060555,"SIDI MAHDI, AG",33.068,6.089,85.0
AGM00060557,"NAAMA, AG",33.267,-0.3,1166.0
AGM00060559,"GUEMAR, AG",33.511,6.777,61.9
AGM00060560,"AIN SEFRA, AG",32.767,-0.6,1059.0
AGM00060566,"NOUMERAT, AG",32.384,3.794,460.9
AGM00060571,"BECHAR, AG",31.646,-2.27,811.1
AGM00060580,"OUARGLA, AG",31.917,5.413,150.0
AGM00060581,"OUED IRARA, AG",31.673,6.14,141.1
AGM00060602,"BENI ABBES, AG",30.133,-2.167,505.0
AGM00060603,"RHOURD NOUSS, AG",29.717,6.7,252.0
AGM00060607,"TIMIMOUN, AG",29.237,0.276,313.0
AGM00060620,"TOUAT CHEIKH SIDI MOHAMED BEL, AG",27.838,-0.186,280.1
AGM00060640,"ILLIZI TAKHAMALT, AG",26.724,8.623,541.9
AGM00060656,"TINDOUF, AG",27.7,-8.167,442.9
AGM00060670,"TISKA, AG",24.293,9.452,968.0
AGM00060690,"IN GUEZZAM, AG",19.567,5.767,401.0
AJ000037575,"ZAKATALA, AJ",41.55,46.667,490.0
AJ000037675,"GUBA, AJ",41.367,48.517,552.0
AJ000037735,"GANCA, AJ",40.7167,46.4167,311.0
AJ000037747,"EVLAKH AIRPORT, AJ",40.617,47.15,15.0
AJ000037749,"GOYCHAY, AJ",40.65,47.75,95.0
AJ000037756,"MARAZA, AJ",40.533,48.933,755.0
AJ000037907,"FIZULY, AJ",39.6,47.15,439.0
AJ000037985,"LANKARAN, AJ",38.75,48.817,-12.0
ALM00013615,"TIRANA RINAS, AL",41.415,19.721,38.4
AM000037618,"TASHIR, AM",41.117,44.283,1509.0
AM000037682,"AMASIA, AM",40.783,43.833,1866.0
AM000037699,"APARAN, AM",40.533,44.383,1892.0
AM000037704,"VANADZOR, AM",40.817,44.5,1379.0
AM000037711,"IDJEVAN, AM",40.867,45.15,733.0
AM000037787,"ARMAVIR, AM",40.133,44.05,865.0
AM000037792,"HRAZDAN, AM",40.483,44.75,1761.0
AM000037801,"GAVAR, AM",40.35,45.1331,1961.0
AM000037815,"MASRIK, AM",40.2,45.75,1940.0
AM000037897,"SISIAN, AM",39.533,46.017,1581.0
AM000037958,"MEGRI, AM",38.9,46.25,628.0
AMM00037717,"SEVAN OZERO, AM",40.567,45.0,1917.0
AO000066160,"LUANDA, AO",-8.85,13.233,74.0
AO000066390,"LUBANGO SA DA BAND, AO",-14.933,13.567,1761.0
AQC00914000,"AASUFOU, US",-14.31667,-170.76667,408.4
AQC00914594,"MALAELOA, US",-14.33333,-170.76667,42.4
AQW00061705,"PAGO PAGO WEATHER SERVICE OFFICE AIRPORT, US",-14.33056,-170.71361,3.7
AR000000011,"MONTE CASEROS AERO, AR",-30.267,-57.65,53.0
AR000087007,"LA QUIACA OBSERVATO, AR",-22.1,-65.6,3479.0
AR000087065,"RIVADAVIA, AR",-24.167,-62.9,205.0
AR000087078,"LAS LOMITAS, AR",-24.7,-60.583,130.0
AR000087129,"SANTIAGO DEL ESTERO, AR",-27.767,-64.3,200.0
AR000087155,"RESISTENCIA AERO, AR",-27.45,-59.05,53.0
AR000087217,"LA RIOJA AERO., AR",-29.383,-66.817,438.0
AR000087257,"CERES AERO, AR",-29.883,-61.95,88.0
AR000087344,"CORDOBA AERO, AR",-31.317,-64.217,489.0
AR000087374,"PARANA AERO, AR",-31.783,-60.483,74.0
AR000087418,"MENDOZA AERO, AR",-32.833,-68.783,704.0
AR000087534,"LABOULAYE AERO, AR",-34.133,-63.367,137.0
AR000087623,"SANTA ROSA AERO, AR",-36.567,-64.266,192.0
AR000087692,"MAR DEL PLATA AERO, AR",-37.933,-57.583,22.0
AR000087715,"NEUQUEN AERO, AR",-38.95,-68.133,273.0
AR000087803,"ESQUEL AERO, AR",-42.933,-71.15,799.0
AR000087828,"TRELEW AERO, AR",-43.2,-65.266,43.0
AR000087860,"COMODORO RIVADAVIA, AR",-45.783,-67.5,58.0
AR000087925,"RIO GALLEGOS AERO, AR",-51.617,-69.283,19.0
AR000870470,"SALTA AERO, AR",-24.85,-65.483,1246.0
AR000875440,"PEHUAJO AERO, AR",-35.867,-61.9,85.0
AR000875850,"BUENOS AIRES OBSERV, AR",-34.583,-58.483,25.0
AR000877500,"BAHIA BLANCA AERO, AR",-38.733,-62.167,75.0
ARM00087016,"ORAN, AR",-23.153,-64.329,356.0
ARM00087022,"GENERAL ENRIQUE MOSCONI TARTA, AR",-22.62,-63.794,449.0
ARM00087046,"JUJUY, AR",-24.393,-65.098,920.2
ARM00087121,"TENIENTE BENJAMIN MATIENZO, AR",-26.841,-65.105,455.7
ARM00087148,"PRESIDENCIA ROQUE SAENZ PENA, AR",-26.733,-60.483,93.0
ARM00087162,"FORMOSA, AR",-26.213,-58.228,59.1
ARM00087166,"CORRIENTES, AR",-27.446,-58.762,61.9
ARM00087178,"POSADAS, AR",-27.386,-55.971,131.1
ARM00087222,"CATAMARCA, AR",-28.596,-65.752,463.9
ARM00087244,"VILLA MARIA DEL RIO, AR",-29.9,-63.683,341.0
ARM00087289,"PASO DE LOS LIBRES, AR",-29.689,-57.152,70.1
ARM00087311,"SAN JUAN, AR",-31.571,-68.418,597.1
ARM00087328,"VILLA DOLORES, AR",-31.945,-65.146,583.7
ARM00087345,"CORDOBA OBSERVATORIO, AR",-31.4,-64.183,426.0
ARM00087349,"PILAR OBSERVATORIO, AR",-31.667,-63.883,338.0
